Full VQE parameter scan: N=8, 30x30
  time FM: 1.0172s | E = -8.000016
  time AP: 0.0884s | E = -14.344843
  time PM: 0.7743s | E = -14.344893
  time FM: 1.1426s | E = -8.000006
  time AP: 0.1516s | E = -14.896575
  time PM: 2.1139s | E = -14.896608
  time FM: 0.8585s | E = -8.000017
  time AP: 0.1069s | E = -14.896575
  time PM: 2.6875s | E = -14.896586
  time FM: 1.8918s | E = -8.000019
  time AP: 0.1612s | E = -15.448290
  time PM: 2.7017s | E = -15.448314
  time FM: 2.2371s | E = -8.000013
  time AP: 0.2568s | E = -15.448290
  time PM: 2.3684s | E = -15.448338
  time FM: 1.1170s | E = -8.000013
  time AP: 0.1143s | E = -16.000015
  time PM: 1.0306s | E = -16.000015
  time FM: 1.9147s | E = -8.000011
  time AP: 0.1236s | E = -16.000015
  time PM: 1.2248s | E = -15.999992
  kappa column 1/30 complete
  time FM: 1.1407s | E = -7.724158
  time AP: 0.1000s | E = -0.275862
  time PM: 0.7232s | E = -7.724168
  time FM: 0.6943s | E = -7.724155
  time AP: 0.0733s | E = -0.275862
  time PM: 0.6769s | E = -4.000010
  time FM: 0.6327s | E = -7.724155
  time AP: 0.0968s | E = -7.733932
  time PM: 0.6886s | E = -0.551707
  time FM: 0.8247s | E = -7.724154
  time AP: 0.1233s | E = -7.733932
  time PM: 0.7026s | E = -0.551724
  time FM: 0.6838s | E = -7.724154
  time AP: 0.0696s | E = -7.763321
  time PM: 0.6279s | E = -1.103441
  time FM: 0.6214s | E = -7.724154
  time AP: 0.0703s | E = -7.763321
  time PM: 0.6239s | E = -1.103452
  time FM: 0.6519s | E = -7.724150
  time AP: 0.0698s | E = -7.812480
  time PM: 0.7077s | E = -1.655166
  time FM: 0.6374s | E = -7.724151
  time AP: 0.0724s | E = -7.812480
  time PM: 0.8242s | E = -1.655169
  time FM: 1.0231s | E = -7.724152
  time AP: 0.1216s | E = -7.880920
  time PM: 1.2215s | E = -2.206894
  time FM: 1.2984s | E = -7.724151
  time AP: 0.1211s | E = -7.880920
  time PM: 0.8251s | E = -2.206895
  time FM: 0.8214s | E = -7.724148
  time AP: 0.1356s | E = -7.968979
  time PM: 2.2744s | E = -2.758616
  time FM: 2.5273s | E = -7.724148
  time AP: 0.1064s | E = -7.968979
  time PM: 0.7207s | E = -2.758608
  time FM: 1.2147s | E = -7.724152
  time AP: 0.9888s | E = -8.076715
  time PM: 1.2616s | E = -3.310354
  time FM: 1.5120s | E = -7.724154
  time AP: 0.5022s | E = -8.076715
  time PM: 1.3203s | E = -3.310328
  time FM: 1.1878s | E = -7.724148
  time AP: 0.6496s | E = -8.194452
  time PM: 1.3180s | E = -3.862081
  time FM: 4.1674s | E = -7.724150
  time AP: 0.1848s | E = -8.194452
  time PM: 2.1417s | E = -3.862084
  time FM: 0.9570s | E = -7.724159
  time AP: 0.0889s | E = -8.353413
  time PM: 0.7038s | E = -4.413792
  time FM: 1.6779s | E = -7.724146
  time AP: 0.1905s | E = -8.353413
  time PM: 1.6507s | E = -4.413709
  time FM: 0.9427s | E = -7.724145
  time AP: 0.1190s | E = -8.516912
  time PM: 1.0615s | E = -4.965485
  time FM: 2.1094s | E = -7.724155
  time AP: 0.1223s | E = -8.516912
  time PM: 0.8034s | E = -4.965534
  time FM: 0.9504s | E = -7.724153
  time AP: 0.1106s | E = -8.707765
  time PM: 0.7118s | E = -5.517256
  time FM: 0.6806s | E = -7.724154
  time AP: 0.0736s | E = -8.707765
  time PM: 0.6337s | E = -5.517236
  time FM: 0.6298s | E = -7.724154
  time AP: 0.0681s | E = -8.915757
  time PM: 0.6257s | E = -6.068961
  time FM: 0.6227s | E = -7.724154
  time AP: 0.0726s | E = -8.915757
  time PM: 0.6295s | E = -6.068961
  time FM: 0.6253s | E = -7.724148
  time AP: 0.0686s | E = -9.139716
  time PM: 0.6319s | E = -6.620689
  time FM: 0.6893s | E = -7.724152
  time AP: 0.0954s | E = -9.139716
  time PM: 0.6915s | E = -6.620696
  time FM: 0.6241s | E = -7.724154
  time AP: 0.0701s | E = -9.366226
  time PM: 0.6254s | E = -7.172439
  time FM: 0.6250s | E = -7.724154
  time AP: 0.0697s | E = -9.366226
  time PM: 0.6678s | E = -7.172437
  time FM: 0.7838s | E = -7.724152
  time AP: 0.0839s | E = -9.655127
  time PM: 0.6898s | E = -7.724170
  time FM: 0.6655s | E = -7.724153
  time AP: 0.0745s | E = -9.655127
  time PM: 0.6388s | E = -7.724163
  time FM: 0.6258s | E = -7.724158
  time AP: 0.0709s | E = -9.940595
  time PM: 0.6466s | E = -8.275898
  time FM: 0.6290s | E = -7.724144
  time AP: 0.0713s | E = -9.940595
  time PM: 0.6981s | E = -8.275890
  time FM: 0.7315s | E = -7.724150
  time AP: 0.0774s | E = -10.246161
  time PM: 0.7094s | E = -8.827624
  time FM: 0.6593s | E = -7.724149
  time AP: 0.0708s | E = -10.246161
  time PM: 0.9327s | E = -8.827604
  time FM: 1.4109s | E = -7.724146
  time AP: 0.1795s | E = -9.667710
  time PM: 2.6526s | E = -9.379341
  time FM: 0.9023s | E = -7.724151
  time AP: 0.1142s | E = -9.667710
  time PM: 0.8584s | E = -9.379337
  time FM: 1.0499s | E = -7.724162
  time AP: 0.1079s | E = -9.940859
  time PM: 1.1269s | E = -9.931087
  time FM: 1.6945s | E = -7.724154
  time AP: 0.1445s | E = -9.940859
  time PM: 2.1535s | E = -9.931044
  time FM: 1.2418s | E = -7.724142
  time AP: 0.4169s | E = -10.483429
  time PM: 1.9773s | E = -10.482754
  time FM: 1.3018s | E = -7.724151
  time AP: 0.5235s | E = -10.483429
  time PM: 0.8319s | E = -10.482780
  time FM: 0.7160s | E = -7.724138
  time AP: 0.1134s | E = -11.034569
  time PM: 0.9413s | E = -11.034516
  time FM: 1.2162s | E = -7.724155
  time AP: 0.1532s | E = -11.034569
  time PM: 1.0616s | E = -11.034519
  time FM: 1.0204s | E = -7.724157
  time AP: 0.1385s | E = -11.586255
  time PM: 2.2621s | E = -11.586206
  time FM: 0.8685s | E = -7.724158
  time AP: 0.1091s | E = -11.586255
  time PM: 0.8659s | E = -11.586253
  time FM: 0.8197s | E = -7.724154
  time AP: 0.0946s | E = -12.137945
  time PM: 1.0422s | E = -12.137972
  time FM: 2.6737s | E = -7.724157
  time AP: 0.1311s | E = -12.137945
  time PM: 0.8464s | E = -12.137963
  time FM: 3.4790s | E = -7.724152
  time AP: 0.3568s | E = -12.689684
  time PM: 0.8523s | E = -12.689705
  time FM: 0.9415s | E = -7.724162
  time AP: 0.1164s | E = -12.689684
  time PM: 0.9089s | E = -12.689718
  time FM: 0.7722s | E = -7.724141
  time AP: 0.1135s | E = -13.241377
  time PM: 0.7140s | E = -13.241424
  time FM: 0.7078s | E = -7.724154
  time AP: 0.0708s | E = -13.241377
  time PM: 0.6388s | E = -13.241424
  time FM: 0.6503s | E = -7.724154
  time AP: 0.0696s | E = -13.793118
  time PM: 0.7005s | E = -13.793159
  time FM: 0.7492s | E = -7.724147
  time AP: 0.0925s | E = -13.793118
  time PM: 0.6970s | E = -13.793118
  time FM: 0.7284s | E = -7.724141
  time AP: 0.0796s | E = -14.344853
  time PM: 0.7186s | E = -14.344809
  time FM: 0.7317s | E = -7.724149
  time AP: 0.0726s | E = -14.344853
  time PM: 0.6309s | E = -14.344677
  time FM: 0.6169s | E = -7.724151
  time AP: 0.0709s | E = -14.896549
  time PM: 0.6381s | E = -14.896553
  time FM: 0.6632s | E = -7.724144
  time AP: 0.0734s | E = -14.896549
  time PM: 0.6209s | E = -14.896597
  time FM: 0.6222s | E = -7.724152
  time AP: 0.0694s | E = -15.448286
  time PM: 0.6593s | E = -15.448317
  time FM: 0.7372s | E = -7.724153
  time AP: 0.0700s | E = -15.448286
  time PM: 0.7745s | E = -15.448284
  time FM: 0.8064s | E = -7.724154
  time AP: 0.1472s | E = -16.000013
  time PM: 0.8197s | E = -16.000034
  time FM: 0.6905s | E = -7.724150
  time AP: 0.0702s | E = -16.000013
  time PM: 0.6379s | E = -16.000015
  kappa column 2/30 complete
  time FM: 0.7231s | E = -7.448292
  time AP: 0.0902s | E = -0.551724
  time PM: 0.7344s | E = -4.000005
  time FM: 0.8256s | E = -7.448288
  time AP: 0.0904s | E = -0.551724
  time PM: 0.6689s | E = -4.000013
  time FM: 0.6429s | E = -7.448284
  time AP: 0.0704s | E = -7.458473
  time PM: 0.6340s | E = -0.551722
  time FM: 0.6354s | E = -7.448290
  time AP: 0.0718s | E = -7.458473
  time PM: 0.6236s | E = -0.551721
  time FM: 0.7778s | E = -7.448279
  time AP: 0.0749s | E = -7.488974
  time PM: 0.6740s | E = -1.103438
  time FM: 0.6336s | E = -7.448289
  time AP: 0.0992s | E = -7.488974
  time PM: 0.6926s | E = -1.103446
  time FM: 0.6782s | E = -7.448293
  time AP: 0.0733s | E = -7.540104
  time PM: 0.7244s | E = -1.655167
  time FM: 0.7835s | E = -7.448291
  time AP: 0.0951s | E = -7.540104
  time PM: 0.8878s | E = -1.655172
